DateTime,AddedIPs,RemovedIPs
1512512789,4,5
1512523898,2,8
1512535205,7,15
1512545623,2,12
1512556342,8,14
1512566973,4,7
1512577920,5,7
1512588951,5,7
1512602463,6,12
1512613186,5,5
1512623796,2,7
1512634654,3,6
1512645249,2,4
1512656109,8,6
1512669044,4,11
1512679830,6,10
1512690867,5,9
1512702253,3,8
1512713234,6,2
1512724329,2,6
1512735831,6,7
1512747015,4,9
1512757777,3,10
1512768624,5,10
1512779410,3,5
1512790171,2,7
1512801073,2,4
1512811763,9,6
1512822694,5,5
1512833767,5,6
1512844734,7,1
1512856053,7,4
1512867138,4,9
1512878043,7,25
1512889045,4,21
1512900034,4,13
1512911002,7,18
1512922089,8,23
1512933735,10,27
1512944999,7,21
1512955699,4,19
1512966477,6,11
1512976903,7,18
1512987847,2,17
1512998858,11,15
1513009733,6,18
1513020541,4,16
1513031520,4,13
1513042823,4,17
1513053739,3,8
1513064871,6,8
1513075789,6,10
1513086588,3,11
1513097105,5,7
1513108085,3,8
1513119139,6,13
1513130058,7,7
1513140970,5,9
1513151451,6,8
1513162552,2,12
1513173636,7,8
1513184564,7,6
1513195505,6,9
1513206415,4,9
1513217508,7,9
1513228338,4,7
1513239356,5,7
1513250410,8,6
1513261244,6,6
1513272166,8,12
1513283201,3,17
1513294463,5,20
1513305361,7,13
1513316350,5,8
1513327301,4,6
1513338436,4,6
1513349440,5,12
1513360791,6,9
1513371825,7,9
1513383110,3,7
1513394002,5,7
1513405123,3,7
1513415323,8,3
1513426443,2,1
1513437249,8,10
1513448432,2,7
1513459389,5,3
1513470177,5,5
1513481236,5,6
1513491992,3,9
1513502915,4,7
1513513807,3,11
1513524633,2,9
1513535331,5,10
1513546577,6,4
1513557569,3,9
1513568592,6,3
1513579580,1,6
1513590164,8,7
1513601287,4,5
1513612463,1,9
1513623588,5,8
1513634275,4,3
1513644967,8,3
1513655894,7,4
1513666553,6,8
1513677869,2,7
1513689076,10,6
1513700087,5,6
1513711436,4,5
1513722724,7,3
1513733746,10,2
1513744750,5,6
1513755971,3,6
1513766920,2,10
1513777926,2,7
1513788732,4,14
1513799711,9,5
1513810686,2,5
1513821552,4,6
1513832542,2,9
1513843575,5,3
1513854142,4,6
1513865192,4,4
1513876245,3,7
1513887272,6,15
1513897999,8,5
1513909187,5,7
1513920047,7,6
1513931287,4,4
1513942183,3,3
1513953110,4,3
1513964059,5,5
1513974716,4,5
1513985687,4,8
1513996693,9,8
1514007458,2,4
1514018319,2,5
1514029363,10,7
1514040064,4,7
1514051038,11,6
1514062069,7,2
1514073062,4,5
1514084137,5,6
1514094867,3,6
1514105712,2,6
1514116825,4,4
1514128089,4,6
1514139375,3,8
1514150267,7,9
1514161219,7,6
1514172230,4,7
1514183195,6,2
1514194033,8,10
1514205118,4,5
1514216146,6,6
1514227402,8,6
1514238529,6,3
1514249784,10,5
1514260612,4,7
1514271564,3,6
1514282538,5,7
1514293599,5,2
1514304617,5,7
1514315374,13,8
1514325920,6,5
1514336669,2,5
1514347615,2,7
1514358529,9,7
1514369535,2,5
1514380483,7,5
1514391523,6,7
1514402647,16,7
1514413518,7,3
1514424604,8,11
1514435422,9,8
1514446117,7,6
1514456803,6,4
1514467806,8,9
1514478981,5,5
