DateTime,AddedIPs,RemovedIPs
1517858899,27,57
1517859855,58,35
1517861096,74,56
1517862048,43,63
1517862978,41,44
1517863935,43,47
1517864928,35,55
1517865859,565,59
1517866817,728,38
1517867770,370,44
1517868761,163,1301
1517869694,53,47
1517870666,41,33
1517871630,43,64
1517872606,46,59
1517873540,35,73
1517874500,41,70
1517875465,42,53
1517876436,42,48
1517877375,36,43
1517878354,53,91
1517879296,40,43
1517880269,44,38
1517881218,32,55
1517882203,43,52
1517883137,37,51
1517884108,50,38
1517885060,26,119
1517886032,26,65
1517886980,50,106
1517887967,32,40
1517888905,50,89
1517889869,35,62
1517890815,29,29
1517891807,54,73
1517892739,44,76
1517893701,43,73
1517894658,57,45
1517895626,58,49
1517896571,41,38
1517897559,34,63
1517898528,39,51
1517899472,43,60
1517900422,46,39
1517901396,26,57
1517902338,64,79
1517903304,47,49
1517904264,43,35
1517905217,17,59
1517906199,44,49
1517907145,45,56
1517908094,37,37
1517909071,44,45
1517910012,39,105
1517910999,49,0
1517911937,39,70
1517912902,39,56
1517913878,56,65
1517914882,33,69
1517916777,69,114
1517917697,49,71
1517918685,53,63
1517919625,52,0
1517920591,23,115
1517921549,84,0
1517922538,36,121
1517923469,62,0
1517924421,57,35
1517925372,45,75
1517926369,14,110
1517927294,86,0
1517928260,86,142
1517929221,65,0
1517930202,57,82
1517931137,55,0
1517932125,38,205
1517933055,60,0
1517934071,68,82
1517934975,55,22
1517935960,72,52
1517936895,51,65
1517938386,90,96
1517939550,64,45
1517940494,37,13
1517941455,58,73
1517942431,41,36
1517943371,58,64
1517944350,84,51
1517945296,47,31
1517946264,88,68
1517947224,76,23
1517948184,69,48
1517949143,72,52
1517950109,65,63
1517951063,68,0
1517952019,145,90
1517952975,763,0
1517953944,733,1312
1517954905,166,0
1517955859,75,33
1517956817,17,37
1517957790,45,54
1517958747,40,28
1517959697,50,52
1517960663,35,44
1517961624,58,45
1517962590,42,32
1517963538,46,32
1517964495,39,33
1517965467,46,53
1517966431,25,37
1517967379,49,26
1517968334,56,31
1517969321,41,48
1517970254,37,46
1517971229,36,59
1517972171,53,43
1517973139,68,31
1517974091,40,62
1517975077,61,39
1517976022,30,36
1517976983,59,59
1517977936,65,46
1517978898,53,40
1517979867,41,67
1517980829,24,39
1517981788,72,16
1517982761,63,76
1517983706,56,40
1517984657,56,58
1517985619,43,25
1517986595,53,52
1517987540,64,51
1517988499,66,17
1517989483,50,48
1517990426,32,87
1517991388,63,55
1517992345,50,36
1517993298,33,44
1517994288,69,32
1517995213,50,34
1517996194,29,167
1517997138,47,39
1517998111,31,0
1517999057,72,103
1518000020,29,37
1518000971,56,0
1518001970,64,89
