DateTime,Entries,UniqueIPs
1511989799,5,5
1512004186,3,3
1512007774,3,3
1512022195,1,1
1512025777,2,2
1512029411,3,3
1512065379,2,2
1512068991,3,3
1512159004,2,2
1512162602,3,3
1512205806,2,2
1512216605,3,3
1512241810,2,2
1512249003,3,3
1512259812,4,4
1512266944,3,3
1512277753,4,4
1512288553,3,3
1512292145,2,2
1512295761,3,3
1512302944,4,4
1512346197,5,5
1512356973,4,4
1512360577,5,5
1512421782,4,4
1512428982,5,5
1512475793,4,4
1512482987,5,5
1512515386,4,4
1512518994,3,3
1512522576,4,4
1512526165,5,5
1512547780,4,4
1512551379,4,4
1512554975,4,4
1512562187,5,5
1512576565,4,4
1512580188,5,5
1512583774,4,4
1512587374,5,5
1512601775,4,4
1512605413,6,6
1512612576,5,5
1512623371,6,6
1512655776,5,5
1512666566,3,3
1512670198,4,4
1512673768,5,5
1512680962,6,6
1512702586,4,4
1512716988,4,4
1512724193,6,6
1512763799,5,5
1512767375,6,6
1512770993,5,5
1512774591,6,6
1512778224,5,5
1512785418,6,6
1512789009,5,5
1512814179,4,4
1512817795,3,3
1512825003,4,4
1512828585,3,3
1512835806,4,4
1512860981,3,3
1512864620,4,4
1512868158,3,3
1512893361,3,3
1512900577,4,4
1512954617,5,5
1512961787,6,6
1512983377,5,5
1512990592,6,6
1512997797,5,5
1513008573,4,4
1513012189,6,6
1513044584,5,5
1513051795,4,4
1513055393,5,5
1513069771,3,3
1513073395,4,4
1513076991,5,5
1513152566,4,4
1513166988,4,4
1513174205,5,5
1513188607,4,4
1513195797,5,5
1513228184,4,4
1513231783,5,5
1513303793,4,4
1513310980,5,5
1513383025,4,4
1513386569,4,4
1513393785,2,2
1513401067,4,4
1513404639,3,3
1513411812,4,4
1513422600,3,3
1513426208,4,4
1513440573,3,3
1513523376,2,2
1513526988,2,2
1513534179,3,3
1513548581,2,2
1513552198,3,3
1513555798,4,4
1513559433,5,5
1513620571,4,4
1513624222,5,5
1513627798,6,6
1513685375,7,7
1513692588,6,6
1513699794,4,4
1513703390,5,5
1513707022,6,6
1513714179,7,7
1513721397,6,6
1513724991,7,7
1513768199,6,6
1513775379,7,7
1513782616,6,6
1513786181,7,7
1513836613,6,6
1513843808,7,7
1513847398,6,6
1513854608,7,7
1513858194,6,6
1513861802,7,7
1513872593,5,5
1513876231,7,7
1513901418,8,8
1513926617,7,7
1513930208,8,8
1513987820,9,9
1513991384,10,10
1513998582,9,9
1514020153,8,8
1514023780,7,7
1514030961,8,8
1514041780,9,9
1514056163,8,8
1514063375,9,9
1514095767,8,8
1514099381,9,9
1514135386,10,10
1514160614,9,9
1514164174,9,9
